MASTER_DEAL_NO,NINAMES,MASTER_DEAL_DATE,AMENDDATE,AMENDED,PRINCIPALAMOUNT,AVGLIFE,BFO,BPSPREAD,BUSINESSS,COUPON,CALLPRICE,CALLPREMIUM,CALLTYPELONG,CALLYEARS,CUSIP,CURRENCY,CUSIP9,CVTDATE,CVTENDDATE,CVTPRICE,CVTPREMIUM,CVTSHARES,POSTPONED_DATE,WITHDRAWN_DATE2,WITHDRAWN_DATE,DAYSINREGISTRATION,DESCRIPTION,DS_TICKER,EXPECTEDDATE,EXCHANGE,UPTICKER,FILEAMOUNT,FILINGDATE,FINALMATURITY_YYYY,FIRST_COUPON_DATE,FIRSTRADEDATE,FINALMATURITY,FOUNDED,GROSS,GROSSPERCENT,GTRCUSIP,HIGHFILEPRICE,INITDIVDATE,INDUSTRY,INITIAL_COUPON_DATE,IP,IPO,IPO_TO_PRESENT,IPODATE,ISIN,ISSUE_DISCOUNT,ISSUEADVISOR,ISSUEADVISORLONG,LASTSALEDATE,LAUNCH_DATE,LOWFILEPRICE,LISTING_DATE,LISTIPO,LISTMAIN,MATURITY,MATURITY_YYYY,MOODY,MIDFILEPRICE,MGTFEE,MGTFEEPERCENT,MARKET,MTGISSUERTYPE,MORTGAGETYPE,MKTVALUEPF,NATION,calldate,ORIGINATOR,OFFERPRIC,PAYMENTDATE,PERPETUAL,PRICECURRENT,PRIMARYSHARES,PROCEEDSOVERSOLD,RANK1_OVERALLOT_TOTDOLAMTPR,PRICESAMEDAY,PUTDATE,QMATURITY,QUIET_PERIOD,REALLOW,REGISTRATION_STATUS,REGISTRATION_STATUS_LONG,REGRIGHTS,SELLCONC,SELLCONCPERCENT,SECREGF,SECONSHARES,SECURITY,SEDOL_INT,SELL_SHRHLDR_ELIG,SELL_SHRHLDR_ELIG_FLAG_YN,SETTLEMENT_DATE,SHARES,SH_SHAREHOLDERS,SHAREHOLDER_TAKE_UP_PCT,SHAREHOLDER_TAKE_UP_PCT_ALL,SHAREHOLDER_UNDISCLOSED,SHARESFILED,SICDESC,SICP,SIMOFFCUS,SINKEND,SINKPCT,SINKSTART,SINKTOTAL,SP,SPINNINAMES,SPINAFTER,SPINBEFORE,STATE,TICKER,TOTAL,TOTDOLAMT,TOTDOLAMTFILED,TOTGROSSMIL,TOTALSHARESFILED,UNDFEE,UNDFEEPERCENT,UPCUSIP,UPSEDOL,UPSICP,SPINCUSIP,YIELD,YEAR,SPINTICKER,YEARSTOPAR,MAIN_TRANCHE,TRANCHE_ID,PACKAGE_ID,REALLOWPERCENT,ALLOT_CUSIP,HIGHTECH,SIC_PRINT,MAX_COUPON_PAYMENT_DATE,MIN_COUPON_PAYMENT_DATE,MAX_CS_CALLDATE,MIN_CS_CALLDATE,MAX_EVENT_HISTORY_DATE,MIN_EVENT_HISTORY_DATE,MAX_LOCK_DATE,MIN_LOCK_DATE,MAX_LOCKUP_DAYS,MIN_LOCKUP_DAYS,MAX_DAYS_LEFT,MIN_DAYS_LEFT,ASSETTYPE_PRINT,MAX_LOC_DATE
1035172101,ICICI Ltd,2001-07-16,,,50.032,,,,Pvd financial svcs;holding co,9.000,,,Non-callable to,3.7,44926P,RE,,,,,,,,,,,9.000% Fxd/Straight Bd due '05,,,New York,IC,,,,2002-08-31,,,-1826,,,,,,Credit Inst.,,44926P,,,,,,,,,,,,,,,,NR,,,,India Public,,,,India,,,100.000,15218,No,,,50.032,57.209,,,2005-04-28,,,,,,,,,,Fxd/Straight Bd,6100380,,,15218,,,,,,,Personal credit institutions,6141,44926P,,None,,,,,,,Foreign,IC,,58.769,,,,,,44926P,6100380,6141,,9.00,2001,,,Y,968472.0,968471.0,,,Primary Business not Hi-Tech,6141/6153/6159/6719,,,,,2001-08-28,2001-08-28,,,,,,,,
1169851008,Impac Secured Assets 2001-5,2001-07-25,,No,33.7,0.9,,,Special purpose finance co,Floats,,,Clean up Call,,45279R,US,,,,,,,,,,187,Asset Bkd Certs due '16,,,,,1337.2,2001-01-19,,,,,,Market,,,,,Mtg Securities,,45272T,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Non-Mtg. Pass,,United States,,,Market,15186,No,,,34.216,211.074,,,2016-06-25,,,,,,,,,,Asset Bkd Certs,,,,15186,,,,,,,Special purpose finance company,619B,45279R,,,,,,,,,California,,,207.893,,,,,,45272T,2884666,2836,,Floa,2001,,,N,1210315.0,1126702.0,,,Primary Business not Hi-Tech,619B,,,,,2002-02-08,2002-02-08,,,,,,,Rev Cred/Home Eq,
1180762021,Kiotech International PLC,2001-07-06,,,0.319,,,,Pvd research services,0,,,,,48393L,STG,,,,0,,,,,,,"1,506,338.0 Ord/Common Shs.",ANP,,OFEX,KIO,,2001-07-06,,,,,,,,,,,Pers/Bus/Rep Svc,,48393L,No,,,,,,,,2001-07-06,,2001-07-06,OFEX,OFEX,,,,,,,U.K. Public,,,,United Kingdom,,,0.150,15209,No,0.056,1506338,0.319,1.717,,,,,,,,,,,,,Ord/Common Shs.,B3NWT17,Yes,Yes,15209,1506338,,,,No,,Noncommercial research organizations,8733,,,,,,,,,,,KIO,6460778,1.717,,,,,,48393L,B3NWT17,8733,,0,,,,N,932097.0,932096.0,,,Research & Development Firm,8733,,,,,,,,,,,,,,
1191458091,CMP 2001 Resource LP,2001-07-12,,,18.412,,B,,Investment firm,,,,,,12746C,C,12600E108,,,,,,,,,,"28,140.0 Ltd Prtnr Int",,,,,,2001-03-12,,,,,,0.0,,,,,Other Finance,,12746C,Yes,,,,,,,,2001-03-12,,2001-07-12,NONE,NONE,,,,,,,Can. Public,,,,Canada,,,"1,000.000",,,,28140,18.412,18.412,,,,,,,,,,,,,Ltd Prtnr Int,,Yes,Yes,,28140,,,,No,,"Investors, nec",6799,,,,,,,,,,Foreign,,28140,18.412,,,,,,12746C,,6799,,,2001,,,Y,1625121.0,1616683.0,,,Primary Business not Hi-Tech,6799,,,,,,,,,,,,,,
1195847021,Coliseum Group Plc,2001-07-02,,,0.248,,,,Sports and leisure group.,0.0,,,,,19425M,STG,,,,0,,,,,,,"700,000.0 Ord/Common Shs.",,,,,,2001-06-19,,,,,,,1.100,,,,Leisure,,19425M,Yes,,,,,,,,2001-06-19,0.35408,2001-07-03,AIM,AIM,,,,0.35408,,,U.K. Public,,,,United Kingdom,,,0.250,15162,No,,700000,0.248,0.248,,,,,,,,,,,,,Ord/Common Shs.,,Yes,Yes,15162,700000,,,,No,,Amusement and recreation svcs,7999,,,,,,,,,,,,700000,0.248,,0.003,,,,19425M,,7999,,0,,,,Y,942423.0,942422.0,,,Primary Business not Hi-Tech,7999/6726,,,,,2001-06-26,2001-06-26,,,,,,,,
1196985008,Wells Fargo MBS 2001-14,2001-07-19,,No,171.714,4.6,,,Mortgage securities finance co,6.500,,,Clean up Call,,94981M,US,,,,,,,,,,266,6.500% Pass-Thru Certs due '31,,,,WFC,10000,2000-10-26,,,,,,Market,,,,,Mortgage Bank,,66946V,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,66946V,Market,15186,No,,,171.276,173.983,,,2031-07-25,,,,,,,,,,Pass-Thru Certs,,,,15186,,,,,,,Mortgage bankers and loan correspondents,6162,94981M,,,,,,,,,Maryland,,,174.428,,,,,,949746,2649100,6021,,Mark,2001,,,Y,1212292.0,1126077.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-08-06,2001-08-06,,,,,,,Residential Mtg,
1196990008,RFMSI 2001-S16,2001-07-25,,No,150.006,4.7,,,Mortgage securities finance co,6.500,,,Clean up Call,,76178T,US,,,,,,,,,,84,6.500% Pass-Thru Certs due '16,,,,GM,3672.6,2001-05-02,,,,,,Market,,,,,Mortgage Bank,,76091P,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,76091P,Market,15186,No,,,148.851,150.749,,,2016-07-25,,,,,,,,,,Pass-Thru Certs,,,,15186,,,,,,,Mortgage bankers and loan correspondents,6162,76178T,,,,,,,,,New York,,,151.919,,,,,,370442,BYP4ZF4,3711,,Mark,2001,,,Y,1212293.0,1126233.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-09-25,2001-09-25,,,,,,,Residential Mtg,
1197754008,Citicorp Mgt Sec 2001-11,2001-07-25,,No,221.737,4.9,,,Mortgage securities finance co,6.250,,,Clean up Call,,17319H,US,,,,,,,,,,890,6.250% Pass-Thru Certs due '16,,,,C,11782.2,1999-02-16,,,,,,Market,,,,,Mortgage Bank,,172921,,,,,,,,,,,,OTC,OTC,,,Aaa,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,172921,Market,15182,No,,,219.325,359.025,,,2016-07-25,,,,,,,,,,Pass-Thru Certs,,,,15182,,,,,,,Mortgage bankers and loan correspondents,6162,17319H,,,,,,,,,New York,,,363.069,,,,,,172967,2297907,6021,,Mark,2001,,,Y,1212418.0,1125998.0,,,Primary Business not Hi-Tech,6162/619A,,,,,2001-10-03,2001-10-03,,,,,,,Residential Mtg,
1197757008,RFMSI Series 2001-S15,2001-07-26,,No,323.401,3.5,,,Mortgage securities finance co,6.750,,,Clean up Call,,76080K,US,,,,,,,,,,85,6.750% Pass-Thru Certs due '31,,,,GM,3672.6,2001-05-02,,,,,,Market,,,,,Mortgage Bank,,76091P,,,,,,,,,,,,OTC,OTC,,,NR,,,,U.S. Public,Mtg.Sec.Iss.,Pass-Through,,United States,,76091P,Market,15186,No,,,320.555,712.96,,,2031-07-25,,,,,,,,,,Pass-Thru Certs,,,,15186,,,,,,,Mortgage bankers and loan correspondents,6162,76080K,,,,,,,,,New York,,,719.756,,,,,,370442,BYP4ZF4,3711,,Mark,2001,,,Y,1212423.0,1126235.0,,,Primary Business not Hi-Tech,6162/619B,,,,,2001-09-25,2001-09-25,,,,,,,Residential Mtg,
1198620006,John Hancock Global Funding II,2001-07-02,,,200,,,,Pvd misc business credit svcs,5.750,,,Non-callable to,4.1,41012W,US,,,,,,,,,,,5.750% Fxd/Straight Bd due '05,JHGAX,,,JHF,,,,2002-07-25,,,,11.65,1.165,,,,Insurance,,41013J,,,,,,,,,,,,LUXBG,LUXBG,,,Aa2,,,,Euro Public,,,,United States,M,,101.27,15181,No,,,202.54,202.54,,,2005-07-25,,,,,,14,1.4,,,Fxd/Straight Bd,,,,15181,,,,,,,Life insurance,6311,,,None,,,,,,,Unknown,,,200,,2.33,,,,41014S,2492519,6311,,5.39,2001,,,Y,945230.0,945229.0,,,Primary Business not Hi-Tech,6311,,,,,,,,,,,,,,
