Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
5/29/2014,PSK CN Equity,PSK CN,PSK CN,PrairieSky Royalty Ltd,CAD,CA,28,5.20E+07,"IPO,Secondary Share Offering",28,-6.071428571,5/22/2014,2.9,4655.4,371.7,7,42.8571,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/30/2014,#NAME?,8/29/2014,#NAME?,11/29/2014,#NAME?,5/29/2015,#NAME?,5/29/2017,#NAME?,5/29/2019,#NAME?,#NAME?
6/27/2013,201563Z CN Equity,201563Z CN,201563Z CN,Federation des Caisses Desjardins du Quebec,CAD,CA,10,1.50E+08,"IPO,Primary Share Offering,Best Efforts",10,,5/14/2012,6.4,,14460.9,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/27/2013,#NAME?,9/27/2013,#NAME?,12/27/2013,#NAME?,6/27/2014,#NAME?,6/27/2016,#NAME?,6/27/2018,#NAME?,#NAME?
11/5/2015,H CN Equity,H CN,H CN,Hydro One Ltd,CAD,CA,20.5,8.11E+07,"IPO,Secondary Share Offering,Government Exit,REG S,Rule 144A",20.5,138.9756098,10/30/2015,48.4,18441.2,6193.6,11,45.4545,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/5/2015,#NAME?,2/5/2016,#NAME?,5/5/2016,#NAME?,11/5/2016,#NAME?,11/5/2018,#NAME?,11/5/2020,#NAME?,#NAME?
5/30/2017,KML CN Equity,KML CN,KML CN,PKM Canada Ltd,CAD,CA,17,1.03E+08,"IPO,Primary Share Offering,REG S,Rule 144A",17,,5/25/2017,,392.9,296.2,6,16.6667,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/30/2017,#NAME?,8/30/2017,#NAME?,11/30/2017,#NAME?,5/30/2018,#NAME?,5/30/2020,#NAME?,5/30/2022,#NAME?,#NAME?
11/18/2021,DFY CN Equity,DFY CN,DFY CN,Definity Financial Corp,CAD,CA,22,6.36E+07,"IPO,Primary Share Offering",22,172.2272727,11/17/2021,,4630.5,3222.5,13,30.7692,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/18/2021,#NAME?,2/18/2022,#NAME?,5/18/2022,#NAME?,11/18/2022,#NAME?,11/18/2024,#NAME?,11/18/2026,#NAME?,#NAME?
12/28/2022,CHRG/U CN Equity,CHRG/U CN,CHRG/U CN,Sprott Physical Battery Metals Trust,USD,CA,10,1.00E+08,"IPO,Primary Share Offering,Rule 144A",10,,12/23/2022,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/28/2023,#NAME?,3/28/2023,#NAME?,6/28/2023,#NAME?,12/28/2023,#NAME?,12/28/2025,#NAME?,12/28/2027,#NAME?,#NAME?
9/22/2020,NVEI CN Equity,NVEI CN,NVEI CN,Nuvei Corp,CAD,CA,26,2.69E+07,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",26,40.1893926,9/17/2020,24.5,2199.9,1189.8,8,37.5,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/22/2020,#NAME?,12/22/2020,#NAME?,3/22/2021,#NAME?,9/22/2021,#NAME?,9/22/2023,#NAME?,9/22/2025,#NAME?,#NAME?
5/10/2022,BLCO CN Equity,BLCO CN,BLCO CN,Bausch + Lomb Corp,CAD,CA,18,3.50E+07,"IPO,Secondary Share Offering,Emerging Growth Company",18,2.065321806,5/6/2022,36.6,6357.4,4791,10,20,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/10/2022,#NAME?,8/10/2022,#NAME?,11/10/2022,#NAME?,5/10/2023,#NAME?,5/10/2025,#NAME?,5/10/2027,#NAME?,#NAME?
7/29/2010,MEG CN Equity,MEG CN,MEG CN,MEG Energy Corp,CAD,CA,35,2.00E+07,"IPO,Primary Share Offering,VC Backed,PE Backed",35,-29,7/29/2010,16.3,4266.5,3758.9,10,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/29/2010,#NAME?,10/29/2010,#NAME?,1/29/2011,#NAME?,7/29/2011,#NAME?,7/29/2013,#NAME?,7/29/2015,#NAME?,#NAME?
3/21/2014,PGIu CN Equity,PGIu CN,PGI-U CN,PIMCO Global Income Opportunities Fund,CAD,CA,10,6.00E+07,"IPO,Primary Share Offering,Best Efforts",10,-25.6,1/31/2014,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/21/2014,#NAME?,6/21/2014,#NAME?,9/21/2014,#NAME?,3/21/2015,#NAME?,3/21/2017,#NAME?,3/21/2019,#NAME?,#NAME?
