Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 3M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y
5/29/2014,PSK CN Equity,PSK CN,PSK CN,PrairieSky Royalty Ltd,CAD,CA,28,52000000,"IPO,Secondary Share Offering",28,-6.071428571,5/22/2014,2.9,4655.4,371.7,7,42.8571,3,N,Yes,#N/A Requesting Data...,37,CA7397211086,739721108,#N/A Field Not Applicable,6/30/2014,38.8,8/29/2014,39.5,11/29/2014,#N/A N/A,5/29/2015,33.4,5/29/2017,30.2,5/29/2019,#N/A Requesting Data…
6/27/2013,201563Z CN Equity,201563Z CN,201563Z CN,Federation des Caisses Desjardins du Quebec,CAD,CA,10,150000000,"IPO,Primary Share Offering,Best Efforts",10,,5/14/2012,6.4,,14460.9,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A Field Not Applicable,#N/A N/A,#N/A N/A,#N/A N/A,2022297,7/27/2013,#N/A Requesting Data...,9/27/2013,#N/A N/A,12/27/2013,#N/A N/A,6/27/2014,#N/A N/A,6/27/2016,#N/A Requesting Data...,6/27/2018,#N/A Requesting Data...
11/5/2015,H CN Equity,H CN,H CN,Hydro One Ltd,CAD,CA,20.5,81100000,"IPO,Secondary Share Offering,Government Exit,REG S,Rule 144A",20.5,138.9756098,10/30/2015,48.4,18441.2,6193.6,11,45.4545,5,N,No,11/5/2015,21.62,CA4488112083,448811208,1712356,12/5/2015,#N/A N/A,2/5/2016,23.12,5/5/2016,23.75,11/5/2016,#N/A N/A,11/5/2018,19.56,11/5/2020,29.4
5/30/2017,KML CN Equity,KML CN,KML CN,PKM Canada Ltd,CAD,CA,17,102942000,"IPO,Primary Share Offering,REG S,Rule 144A",17,,5/25/2017,,392.9,296.2,6,16.6667,1,N,No,5/30/2017,48.72,CA4945497028,494549702,1714973,6/30/2017,47.55,8/30/2017,51.9001,11/30/2017,52.8601,5/30/2018,47.85,5/30/2020,#N/A N/A,5/30/2022,#N/A N/A
11/18/2021,DFY CN Equity,DFY CN,DFY CN,Definity Financial Corp,CAD,CA,22,63636400,"IPO,Primary Share Offering",22,172.2272727,11/17/2021,,4630.5,3222.5,13,30.7692,4,N,No,11/18/2021,27.17,CA24477T1003,24477T100,#N/A Field Not Applicable,12/18/2021,#N/A N/A,2/18/2022,28.25,5/18/2022,31.97,11/18/2022,38.01,11/18/2024,56.93,11/18/2026,#N/A N/A
12/28/2022,CHRG/U CN Equity,CHRG/U CN,CHRG/U CN,Sprott Physical Battery Metals Trust,USD,CA,10,100000000,"IPO,Primary Share Offering,Rule 144A",10,,12/23/2022,,,,,,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A N/A,#N/A Field Not Applicable,#N/A N/A,CA85209K2048,85209K204,#N/A Field Not Applicable,1/28/2023,#N/A N/A,3/28/2023,#N/A N/A,6/28/2023,#N/A N/A,12/28/2023,#N/A N/A,12/28/2025,#N/A N/A,12/28/2027,#N/A N/A
9/22/2020,NVEI CN Equity,NVEI CN,NVEI CN,Nuvei Corp,CAD,CA,26,26923100,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",26,40.1893926,9/17/2020,24.5,2199.9,1189.8,8,37.5,3,N,No,9/17/2020,46.1,CA67079A1021,67079A102,1765159,10/22/2020,53.1,12/22/2020,77.99,3/22/2021,75.31,9/22/2021,160.26,9/22/2023,20.21,9/22/2025,#N/A N/A
5/10/2022,BLCO CN Equity,BLCO CN,BLCO CN,Bausch + Lomb Corp,CAD,CA,18,35000000,"IPO,Secondary Share Offering,Emerging Growth Company",18,2.065321806,5/6/2022,36.6,6357.4,4791,10,20,2,N,No,5/6/2022,23.1,CA0717051076,71705107,1860742,6/10/2022,18.03,8/10/2022,20.78,11/10/2022,20.22,5/10/2023,24.53,5/10/2025,#N/A N/A,5/10/2027,#N/A N/A
7/29/2010,MEG CN Equity,MEG CN,MEG CN,MEG Energy Corp,CAD,CA,35,20000000,"IPO,Primary Share Offering,VC Backed,PE Backed",35,-29,7/29/2010,16.3,4266.5,3758.9,10,,#N/A N/A,#N/A N/A,No,7/29/2010,35.01,CA5527041084,552704108,#N/A Field Not Applicable,8/29/2010,#N/A N/A,10/29/2010,37.34,1/29/2011,#N/A N/A,7/29/2011,51.46,7/29/2013,32.63,7/29/2015,14.82
3/21/2014,PGIu CN Equity,PGIu CN,PGI-U CN,PIMCO Global Income Opportunities Fund,CAD,CA,10,60000000,"IPO,Primary Share Offering,Best Efforts",10,-25.6,1/31/2014,,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,4/21/2014,#N/A Invalid Security,6/21/2014,#N/A Invalid Security,9/21/2014,#N/A Invalid Security,3/21/2015,#N/A Invalid Security,3/21/2017,#N/A Invalid Security,3/21/2019,#N/A Invalid Security
6/8/2011,GEI CN Equity,GEI CN,GEI CN,Gibson Energy Inc,CAD,CA,16,31250000,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",16,41.125,6/8/2011,53.2,2773.9,8599.8,10,50,5,N,No,6/8/2011,16.06,CA3748252069,374825206,1483736,7/8/2011,16.25,9/8/2011,17.55,12/8/2011,19.3,6/8/2012,20.54,6/8/2014,#N/A N/A,6/8/2016,15.99
5/21/2021,DNTL CN Equity,DNTL CN,DNTL CN,dentalcorp Holdings Ltd,CAD,CA,14,50000000,"IPO,Primary Share Offering",14,-44.5,5/20/2021,41.3,1132.1,1127.9,8,25,2,N,#N/A N/A,5/21/2021,14.1,CA24874B1085,24874B108,#N/A Field Not Applicable,6/21/2021,16,8/21/2021,#N/A N/A,11/21/2021,#N/A N/A,5/21/2022,#N/A N/A,5/21/2024,6.48,5/21/2026,#N/A N/A
