,count,mean,std,min,25%,50%,75%,max,Diff
% Women on Board,44,28.856554545454546,9.500580206919915,12.5,24.30555,28.5714,33.3333,50,9.027750000000001
Offer Price,44,12.907159090909092,7.109531548,0.1,10,13,17,28,7
Underpricing,41,147.29438562480357,541.6969133730918,-62.08333333,-1.882352941,0.375,20,3233.2999999999997,21.88235294117647
Unrealized Proceeds After 1M,43,183368719.30232558,535703915.8022695,-92000000,-1121750,11250000,77288999.99999997,3146649999.9999995,78410749.99999997
Unrealized Proceeds After 3M,43,213353932.79069766,607710184.5165141,-60000000,-6823500,28319999.999999993,155350000,3594710300,162173500
Unrealized Proceeds After 6M,41,225597629.4878049,633059806.5510446,-166250000,-4725000,41999999.99999999,168552019.99999997,3693590300.0000005,173277019.99999997
Unrealized Proceeds After 1Y,41,274002835.63414633,763786341.8202535,-216250000,-1800000,34300000.000000015,192600000.00000006,3611593999.9999995,194400000.00000006
Unrealized Proceeds After 3Y,40,116743498,406862004.00990564,-493500000,-27112000,6837500.000000004,108475000,2221548000,135587000
Unrealized Proceeds After 5Y,33,96708679.72727273,314771523.37882835,-512720000,-43680000,2269849.9999999953,214169999.99999997,983100000.0000001,257849999.99999997
Initial Pub Offer (Share Price),44,12.548068181818183,7.344807469408916,0.1,9.375,13,17,28,7.625
Initial Pub Offer (Shares Offered),43,24960930.23255814,29922566.720020264,1300000,8285000,17700000,25950000,162000000,17665000
Offer To Date,35,106.15955840282857,246.51815216930052,-94.44444444,-50.82264957,29.4,154.92009860000002,1129.538462,205.74274817000003
Total Debt/Total Assets,40,31.775000000000006,21.34118144904414,0.4,13.5,33.650000000000006,44.074999999999996,114.4,30.574999999999996
Historical Market Cap,42,2354.692857142857,4180.629544283145,2.4,338.8,830.1,2394.4500000000003,18441.2,2055.65
Revenues,41,2153.317073170732,3373.1651354404844,95.5,296.2,654.6,2161.9,16247,1865.7
Size of the Board,44,8.363636363636363,2.0808194840395364,4,7,8,10,13,3
Number of Women on Board,43,2.488372093023256,1.1826542590062046,1,2,2,3,5,1
First-Day Closing Price,41,20.609756097560975,25.788515576716012,2,10,16.06,20.3,159.1616,10.3
IPO PRICE AFTER 1M*,44,22.789461363636363,38.20655952335578,0.13,9.600125,15.425,19.195,251.5866,9.594875
IPO PRICE AFTER 3M*,44,22.075070454545454,29.32953749439553,0.12,8.555,14.925,23.27,182.2017,14.715
IPO PRICE AFTER 6M*,42,22.023338095238095,24.851146607261132,1.125,9.325000000000001,15.485,24.3975,145.6554,15.0725
IPO PRICE AFTER 1Y*,42,23.196383333333333,28.56362579567883,0.81,8.7025,13.405000000000001,24.605,160.26,15.9025
IPO PRICE AFTER 3Y*,41,19.945963414634146,19.503744910628782,0.495,7.5,15,21.57,86.8636,14.07
IPO PRICE AFTER 5Y*,34,21.411232352941177,25.00546388311018,0.28,4.692500000000001,12.985,29.685000000000002,111.7574,24.9925
BOARD_SIZE,43,8.395348837209303,2.0946591367630214,4,7,8,10,13,3
